Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/17/2019,PONT,4D,,SIL,AG12868,IL,10300 S. Doty
04/17/2019,PONT,4D,GRM,SIL,Z435182,IL,10300 S. Doty
04/17/2019,PONT,4D,,RED,476U858,IL,701 N. Sacramento
04/17/2019,SMAR,2D,,WHI,AX87985,IL,400 E. Lower Wacker
04/17/2019,SMAR,2D,,WHI,AX88010,IL,400 E. Lower Wacker
04/17/2019,TOYT,4D,,TAN,JCU7266,NY,400 E. Lower Wacker
04/17/2019,TOYT,4D,,BLK,Q456832,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,GRY,H312871,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,GRN,Z662500,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,SIL,BF41678,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,SIL,BE78170,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,BLU,N299776,IL,400 E. Lower Wacker
04/17/2019,TOYT,4D,,GRY,AC35912,IL,701 N. Sacramento
04/17/2019,TOYT,4D,,GRY,AU95733,IL,701 N. Sacramento
04/17/2019,VOLK,4T,,WHI,AV25293,IL,701 N. Sacramento
04/17/2019,VOLK,LL,,BLK,Z588243,IL,701 N. Sacramento
04/16/2019,ACUR,LL,,GRY,AV28615,IL,400 E. Lower Wacker
04/16/2019,BMW,4D,,BLK,BA16877,IL,701 N. Sacramento
04/16/2019,BUIC,4D,,WHI,,IL,701 N. Sacramento
04/16/2019,BUIC,4T,,WHI,692U526,IL,10300 S. Doty
04/16/2019,CADI,2D,,BRO,S234826,IL,701 N. Sacramento
04/16/2019,CADI,4D,,WHI,146045,TX,10300 S. Doty
04/16/2019,CADI,LL,,WHI,268024,IL,701 N. Sacramento
04/16/2019,CHEV,2D,,RED,670U358,IL,10300 S. Doty
04/16/2019,CHEV,2D,,WHI,,MN,10300 S. Doty
04/16/2019,CHEV,2D,,SIL,394TFM,IN,10300 S. Doty
04/16/2019,CHEV,4D,,TAN,BL43009,IL,10300 S. Doty
04/16/2019,CHEV,4D,,GRY,K258717,IN,10300 S. Doty
04/16/2019,CHEV,4D,,BLK,BA52983,IL,701 N. Sacramento
04/16/2019,CHEV,4D,,RED,AX40511,IL,10300 S. Doty
04/16/2019,CHEV,4D,,TAN,630U641,IL,10300 S. Doty
04/16/2019,CHEV,LL,,GRN,,IL,10300 S. Doty
04/16/2019,CHEV,LL,,BLK,,IL,10300 S. Doty
04/16/2019,CHEV,LL,,BLU,BF25569,IL,701 N. Sacramento
04/16/2019,CHEV,LL,,RED,AV82145,IL,10300 S. Doty
04/16/2019,CHEV,VN,TK,GRN,AN74327,IL,10300 S. Doty
04/16/2019,CHEV,VN,,WHI,395919D,IL,10300 S. Doty
04/16/2019,CHRY,4D,,BLK,AQ35174,IL,701 N. Sacramento
